14
0,420,606,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,
420,0,242,318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
606,242,0,-1,-1,723,-1,-1,-1,-1,-1,-1,-1,-1,
-1,318,-1,0,210,-1,-1,-1,-1,-1,846,-1,-1,-1,
-1,-1,-1,210,0,500,236,-1,-1,-1,-1,-1,-1,-1,
-1,-1,723,-1,500,0,-1,-1,433,-1,-1,-1,-1,717,
-1,-1,-1,-1,236,-1,0,277,-1,-1,-1,-1,-1,-1,
1000,-1,-1,-1,-1,-1,277,0,-1,269,-1,-1,-1,-1,
-1,-1,-1,-1,-1,433,-1,-1,0,326,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,269,326,0,-1,142,164,-1,
-1,-1,-1,846,-1,-1,-1,-1,-1,-1,0,-1,314,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,142,-1,0,-1,158,
-1,-1,-1,-1,-1,-1,-1,-1,-1,164,314,-1,0,-1,
-1,-1,-1,-1,-1,717,-1,-1,-1,-1,-1,158,-1,0
